Oven2_CirculatingFanInverterError,2018,,1,Oven2_CirculatingFanInverterError,,0
Oven2_InsufficientAirPressure,2019,,1,Oven2_InsufficientAirPressure,,0
Oven2_EGOOverTemperature,2020,,1,Oven2_EGOOverTemperature,,0
Oven2_InflatingTimeExceeded,2021,,1,Oven2_InflatingTimeExceeded,,0
Oven2_DoorNotClosedPositionException,2022,,1,Oven2_DoorNotClosedPositionException,,0
Oven2_RampTimeExceeded,2023,,1,Oven2_RampTimeExceeded,,0
Oven2_RampBranchException,2024,,1,Oven2_RampBranchException,,0
Oven2_BarCodeReadError,2025,,1,Oven2_BarCodeReadError,,0
Oven2_PLCBatteryVoltLow,2026,,1,Oven2_PLCBatteryVoltLow,,0
Oven2_ELBtrip,2027,,1,Oven2_ELBtrip,,0
Oven2_ServoDriverBatteryVoltLow,2028,,1,Oven2_ServoDriverBatteryVoltLow,,0
Oven2_DoorOpenLimitError,2029,,1,Oven2_DoorOpenLimitError,,0
Oven2_DoorCloseLimitError,2030,,1,Oven2_DoorCloseLimitError,,0
Oven2_ServoDriverError,2031,,1,Oven2_ServoDriverError,,0
Oven2_RasterError,2032,,1,Oven2_RasterError,,0
Oven2_ProgramStopped,2033,,1,Oven2_ProgramStopped,,0
Oven2_DoorNotClosed,2034,,1,Oven2_DoorNotClosed,,0
Oven2_ElectricControlBoxTemperatureError,2035,,1,Oven2_ElectricControlBoxTemperatureError,,0
Oven2_IntakeWindmillError,2036,,1,Oven2_IntakeWindmillError,,0
Oven2_WindSpeedUpperLimitAlarm,2037,,1,Oven2_WindSpeedUpperLimitAlarm,,0
Oven2_WindSpeedLowerLimitAlarm,2038,,1,Oven2_WindSpeedLowerLimitAlarm,,0
Oven2_RecipeChangeError,2039,,1,Oven2_RecipeChangeError,,0
Oven2_SpareAlarm2,2040,,1,Oven2_SpareAlarm2,,0
Oven2_SpareAlarm3,2041,,1,Oven2_SpareAlarm3,,0
Oven2_SpareAlarm4,2042,,1,Oven2_SpareAlarm4,,0
Oven2_SpareAlarm5,2043,,1,Oven2_SpareAlarm5,,0
Oven2_SpareAlarm6,2044,,1,Oven2_SpareAlarm6,,0
Oven2_SpareAlarm7,2045,,1,Oven2_SpareAlarm7,,0
Oven2_SpareAlarm8,2046,,1,Oven2_SpareAlarm8,,0
Oven2_SpareAlarm9,2047,,1,Oven2_SpareAlarm9,,0
Oven2_SpareAlarm10,2048,,1,Oven2_SpareAlarm10,,0
Oven2_SpareAlarm11,2049,,1,Oven2_SpareAlarm11,,0
Oven2_SpareAlarm12,2050,,1,Oven2_SpareAlarm12,,0
